,index,protocol,measuredDate,createDate,updateDate,publishDate,organizationId,organizationName,siteId,siteName,countryName,countryCode,latitude,longitude,elevation,pid,mosquitohabitatmapperBreedingGroundEliminated,mosquitohabitatmapperExtraData,mosquitohabitatmapperAbdomenCloseupPhotoUrls,mosquitohabitatmapperMeasuredAt,mosquitohabitatmapperMeasurementElevation,mosquitohabitatmapperUserid,mosquitohabitatmapperLarvaeCount,mosquitohabitatmapperMosquitoEggs,mosquitohabitatmapperMosquitoEggCount,mosquitohabitatmapperGenus,mosquitohabitatmapperWaterSource,mosquitohabitatmapperMosquitoAdults,mosquitohabitatmapperSpecies,mosquitohabitatmapperComments,mosquitohabitatmapperMosquitoPupae,mosquitohabitatmapperWaterSourcePhotoUrls,mosquitohabitatmapperDataSource,mosquitohabitatmapperLarvaFullBodyPhotoUrls,mosquitohabitatmapperMeasurementLatitude,mosquitohabitatmapperLastIdentifyStage,mosquitohabitatmapperWaterSourceType,mosquitohabitatmapperMosquitoHabitatMapperId,mosquitohabitatmapperMeasurementLongitude
497,1456,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:49:00,0,46926957,,,,,pond,,,0,,https://data.globe.gov/system/photos/2018/08/17/820591/original.jpg,GLOBE Observer App,,8.6432,,still: lake/pond/swamp,4068,99.8986
498,1457,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:49:00,0,46929956,,,,,pond,,,0,,https://data.globe.gov/system/photos/2018/08/17/816607/original.jpg,GLOBE Observer App,,8.6432,,still: lake/pond/swamp,3874,99.8986
499,1458,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:52:00,0,46936061,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816602/original.jpg,GLOBE Observer App,,8.6436,,still: lake/pond/swamp,3871,99.8984
502,1461,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:43:00,0,46929966,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816563/original.jpg,GLOBE Observer App,,8.6436,,still: lake/pond/swamp,3863,99.8984
504,1463,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:45:00,0,46929050,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816535/original.jpg,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,3862,99.8983
505,1464,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:45:00,0,46928590,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816540/original.jpg,GLOBE Observer App,,8.6436,,still: lake/pond/swamp,3866,99.8981
506,1465,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:50:00,0,46933763,,,,,pond,,,0,,https://data.globe.gov/system/photos/2018/08/17/816609/original.jpg,GLOBE Observer App,,8.6434,,still: lake/pond/swamp,3875,99.8986
1393,3480,mosquito_habitat_mapper,2019-12-17,2020-01-25T19:11:52,2020-01-25T19:11:52,2020-03-20T22:19:48,18306968.0,Taiwan Partnership Citizen Science,111030,51RUH176628,,,24.969636,121.193082,137.1,159364692,False,,,2019-12-17T06:40:00,0,63778833,,,,,pond,,,,False,https://data.globe.gov/system/photos/2019/12/17/1421148/original.jpg; https://data.globe.gov/system/photos/2019/12/17/1421149/original.jpg; https://data.globe.gov/system/photos/2019/12/17/1421151/original.jpg,GLOBE Observer App,,24.9697,identify,still: lake/pond/swamp,19354,121.1934
1440,3892,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,False,,,2018-07-30T08:49:00,0,6974074,32,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801749/original.jpg,GLOBE Observer App,,7.8131,identify,container: natural,3509,99.9437
1441,3893,mosquito_habitat_mapper,2018-07-30,2020-01-25T18:00:55,2020-01-25T18:00:55,2020-02-14T20:29:11,8777651.0,Papayom pittayakom school,127355,47NPJ040637,Thailand,THA,7.812627,99.943279,25.9,159351877,True,,,2018-07-30T08:51:00,0,6974074,15,False,,,other,False,,,True,https://data.globe.gov/system/photos/2018/07/30/801750/original.jpg,GLOBE Observer App,,7.813,identify,container: artificial,3510,99.9438
